pct,label,f1
1,toxic,0.877
1,severe_toxic,0.0
1,obscene,0.7761
1,insult,0.6881
1,identity_hate,0.0
10,toxic,0.9015
10,severe_toxic,0.5328
10,obscene,0.8402
10,insult,0.7556
10,identity_hate,0.5832
25,toxic,0.9165
25,severe_toxic,0.5773
25,obscene,0.8647
25,insult,0.7915
25,identity_hate,0.6618
50,toxic,0.9379
50,severe_toxic,0.6569
50,obscene,0.8984
50,insult,0.8408
50,identity_hate,0.7283
75,toxic,0.9537
75,severe_toxic,0.746
75,obscene,0.9286
75,insult,0.8883
75,identity_hate,0.7964
100,toxic,0.9818
100,severe_toxic,0.8397
100,obscene,0.966
100,insult,0.9428
100,identity_hate,0.9084
